Record_ID,Year,Paper,Row_Number,Source_Raw_Mark_or_Label,B1_Value,B2_Value,Other_Result,Source_File,Source_Region,Original_Row_Text,Visual_Confidence,Verification_Status,Notes
2022_1B_001,2022,Paper 1B,1,0,0,0,,2022.JPG,Left Table,0 | 0,High,Verified,Main Paper 1B table
2022_1B_002,2022,Paper 1B,2,1,1,0,,2022.JPG,Left Table,1 | 0,High,Verified,Main Paper 1B table
2022_1B_003,2022,Paper 1B,3,2,2,0,,2022.JPG,Left Table,2 | 0,High,Verified,Main Paper 1B table
2022_1B_004,2022,Paper 1B,4,3,3,0,,2022.JPG,Left Table,3 | 0,High,Verified,Main Paper 1B table
2022_1B_005,2022,Paper 1B,5,4,4,1,,2022.JPG,Left Table,4 | 1,High,Verified,Main Paper 1B table
2022_1B_006,2022,Paper 1B,6,5,5,1,,2022.JPG,Left Table,5 | 1,High,Verified,Main Paper 1B table
2022_1B_007,2022,Paper 1B,7,6,6,1,,2022.JPG,Left Table,6 | 1,High,Verified,Main Paper 1B table
2022_1B_008,2022,Paper 1B,8,7,7,1,,2022.JPG,Left Table,7 | 1,High,Verified,Main Paper 1B table
2022_1B_009,2022,Paper 1B,9,8,8,2,,2022.JPG,Left Table,8 | 2,High,Verified,Main Paper 1B table
2022_1B_010,2022,Paper 1B,10,9,9,2,,2022.JPG,Left Table,9 | 2,High,Verified,Main Paper 1B table
2022_1B_011,2022,Paper 1B,11,10,10,2,,2022.JPG,Left Table,10 | 2,High,Verified,Main Paper 1B table
2022_1B_012,2022,Paper 1B,12,11,11,2,,2022.JPG,Left Table,11 | 2,High,Verified,Main Paper 1B table
2022_1B_013,2022,Paper 1B,13,12,12,3,,2022.JPG,Left Table,12 | 3,High,Verified,Main Paper 1B table
2022_1B_014,2022,Paper 1B,14,13,13,3,,2022.JPG,Left Table,13 | 3,High,Verified,Main Paper 1B table
2022_1B_015,2022,Paper 1B,15,14,14,3,,2022.JPG,Left Table,14 | 3,High,Verified,Main Paper 1B table
2022_1B_016,2022,Paper 1B,16,15,15,3,,2022.JPG,Left Table,15 | 3,High,Verified,Main Paper 1B table
2022_1B_017,2022,Paper 1B,17,16,16,4,,2022.JPG,Left Table,16 | 4,High,Verified,Main Paper 1B table
2022_1B_018,2022,Paper 1B,18,17,17,4,,2022.JPG,Left Table,17 | 4,High,Verified,Main Paper 1B table
2022_1B_019,2022,Paper 1B,19,18,18,4,,2022.JPG,Left Table,18 | 4,High,Verified,Main Paper 1B table
2022_1B_020,2022,Paper 1B,20,19,19,5,,2022.JPG,Left Table,19 | 5,High,Verified,Main Paper 1B table
2022_1B_021,2022,Paper 1B,21,20,20,5,,2022.JPG,Left Table,20 | 5,High,Verified,Main Paper 1B table
2022_1B_022,2022,Paper 1B,22,21,21,5,,2022.JPG,Left Table,21 | 5,High,Verified,Main Paper 1B table
2022_1B_023,2022,Paper 1B,23,22,22,6,,2022.JPG,Left Table,22 | 6,High,Verified,Main Paper 1B table
2022_1B_024,2022,Paper 1B,24,23,23,6,,2022.JPG,Left Table,23 | 6,High,Verified,Main Paper 1B table
2022_1B_025,2022,Paper 1B,25,24,24,7,,2022.JPG,Left Table,24 | 7,High,Verified,Main Paper 1B table
2022_1B_026,2022,Paper 1B,26,25,25,8,,2022.JPG,Left Table,25 | 8,High,Verified,Main Paper 1B table
2022_1B_027,2022,Paper 1B,27,26,26,9,,2022.JPG,Left Table,26 | 9,High,Verified,Main Paper 1B table
2022_1B_028,2022,Paper 1B,28,27,27,10,,2022.JPG,Left Table,27 | 10,High,Verified,Main Paper 1B table
2022_1B_029,2022,Paper 1B,29,28,28,11,,2022.JPG,Left Table,28 | 11,High,Verified,Main Paper 1B table
2022_1B_030,2022,Paper 1B,30,29,29,12,,2022.JPG,Left Table,29 | 12,High,Verified,Main Paper 1B table
2022_1B_031,2022,Paper 1B,31,30,30,13,,2022.JPG,Left Table,30 | 13,High,Verified,Main Paper 1B table
2022_1B_032,2022,Paper 1B,32,31,31,14,,2022.JPG,Left Table,31 | 14,High,Verified,Main Paper 1B table
2022_1B_033,2022,Paper 1B,33,32,32,16,,2022.JPG,Left Table,32 | 16,High,Verified,Main Paper 1B table
2022_1B_034,2022,Paper 1B,34,33,33,18,,2022.JPG,Left Table,33 | 18,High,Verified,Main Paper 1B table
2022_1B_035,2022,Paper 1B,35,34,34,20,,2022.JPG,Left Table,34 | 20,High,Verified,Main Paper 1B table
2022_1B_036,2022,Paper 1B,36,35,35,22,,2022.JPG,Left Table,35 | 22,High,Verified,Main Paper 1B table
2022_1B_037,2022,Paper 1B,37,36,36,24,,2022.JPG,Left Table,36 | 24,High,Verified,Main Paper 1B table
2022_1B_038,2022,Paper 1B,38,37,37,27,,2022.JPG,Left Table,37 | 27,High,Verified,Main Paper 1B table
2022_1B_039,2022,Paper 1B,39,38,38,29,,2022.JPG,Left Table,38 | 29,High,Verified,Main Paper 1B table
2022_1B_040,2022,Paper 1B,40,39,39,31,,2022.JPG,Left Table,39 | 31,High,Verified,Main Paper 1B table
2022_1B_041,2022,Paper 1B,41,40,40,34,,2022.JPG,Left Table,40 | 34,High,Verified,Main Paper 1B table
2022_1B_042,2022,Paper 1B,42,41,41,37,,2022.JPG,Left Table,41 | 37,High,Verified,Main Paper 1B table
2022_1B_043,2022,Paper 1B,43,42,42,40,,2022.JPG,Left Table,42 | 40,High,Verified,Main Paper 1B table
2022_3B_001,2022,Paper 3B,1,0,0,0,,2022.JPG,Middle Table,0 | 0,High,Verified,Main Paper 3B table
2022_3B_002,2022,Paper 3B,2,1,1,1,,2022.JPG,Middle Table,1 | 1,High,Verified,Main Paper 3B table
