Record_ID,Year,Paper,Row_Number,Source_Raw_Mark_or_Label,B1_Value,B2_Value,Other_Result,Source_File,Source_Region,Original_Row_Text,Visual_Confidence,Verification_Status,Notes
2015_1B_000,2015,Paper 1B,1,0,0,0,,2015.JPG,Paper 1B Table,0 | 0,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_001,2015,Paper 1B,2,1,1,0,,2015.JPG,Paper 1B Table,1 | 0,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_002,2015,Paper 1B,3,2,2,1,,2015.JPG,Paper 1B Table,2 | 1,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_003,2015,Paper 1B,4,3,3,1,,2015.JPG,Paper 1B Table,3 | 1,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_004,2015,Paper 1B,5,4,4,2,,2015.JPG,Paper 1B Table,4 | 2,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_005,2015,Paper 1B,6,5,5,2,,2015.JPG,Paper 1B Table,5 | 2,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_006,2015,Paper 1B,7,6,6,3,,2015.JPG,Paper 1B Table,6 | 3,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_007,2015,Paper 1B,8,7,7,3,,2015.JPG,Paper 1B Table,7 | 3,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_008,2015,Paper 1B,9,8,8,4,,2015.JPG,Paper 1B Table,8 | 4,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_009,2015,Paper 1B,10,9,9,4,,2015.JPG,Paper 1B Table,9 | 4,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_010,2015,Paper 1B,11,10,10,5,,2015.JPG,Paper 1B Table,10 | 5,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_011,2015,Paper 1B,12,11,11,5,,2015.JPG,Paper 1B Table,11 | 5,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_012,2015,Paper 1B,13,12,12,5,,2015.JPG,Paper 1B Table,12 | 5,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_013,2015,Paper 1B,14,13,13,5,,2015.JPG,Paper 1B Table,13 | 5,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_014,2015,Paper 1B,15,14,14,6,,2015.JPG,Paper 1B Table,14 | 6,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_015,2015,Paper 1B,16,15,15,6,,2015.JPG,Paper 1B Table,15 | 6,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_016,2015,Paper 1B,17,16,16,6,,2015.JPG,Paper 1B Table,16 | 6,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_017,2015,Paper 1B,18,17,17,7,,2015.JPG,Paper 1B Table,17 | 7,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_018,2015,Paper 1B,19,18,18,7,,2015.JPG,Paper 1B Table,18 | 7,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_019,2015,Paper 1B,20,19,19,7,,2015.JPG,Paper 1B Table,19 | 7,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_020,2015,Paper 1B,21,20,20,8,,2015.JPG,Paper 1B Table,20 | 8,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_021,2015,Paper 1B,22,21,21,8,,2015.JPG,Paper 1B Table,21 | 8,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_022,2015,Paper 1B,23,22,22,8,,2015.JPG,Paper 1B Table,22 | 8,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_023,2015,Paper 1B,24,23,23,9,,2015.JPG,Paper 1B Table,23 | 9,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_024,2015,Paper 1B,25,24,24,10,,2015.JPG,Paper 1B Table,24 | 10,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_025,2015,Paper 1B,26,25,25,10,,2015.JPG,Paper 1B Table,25 | 10,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_026,2015,Paper 1B,27,26,26,11,,2015.JPG,Paper 1B Table,26 | 11,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_027,2015,Paper 1B,28,27,27,12,,2015.JPG,Paper 1B Table,27 | 12,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_028,2015,Paper 1B,29,28,28,13,,2015.JPG,Paper 1B Table,28 | 13,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_029,2015,Paper 1B,30,29,29,14,,2015.JPG,Paper 1B Table,29 | 14,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_030,2015,Paper 1B,31,30,30,15,,2015.JPG,Paper 1B Table,30 | 15,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_031,2015,Paper 1B,32,31,31,16,,2015.JPG,Paper 1B Table,31 | 16,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_032,2015,Paper 1B,33,32,32,17,,2015.JPG,Paper 1B Table,32 | 17,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_033,2015,Paper 1B,34,33,33,18,,2015.JPG,Paper 1B Table,33 | 18,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_034,2015,Paper 1B,35,34,34,20,,2015.JPG,Paper 1B Table,34 | 20,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_035,2015,Paper 1B,36,35,35,22,,2015.JPG,Paper 1B Table,35 | 22,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_036,2015,Paper 1B,37,36,36,24,,2015.JPG,Paper 1B Table,36 | 24,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_037,2015,Paper 1B,38,37,37,29,,2015.JPG,Paper 1B Table,37 | 29,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_038,2015,Paper 1B,39,38,38,33,,2015.JPG,Paper 1B Table,38 | 33,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_039,2015,Paper 1B,40,39,39,37,,2015.JPG,Paper 1B Table,39 | 37,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_1B_040,2015,Paper 1B,41,40,40,40,,2015.JPG,Paper 1B Table,40 | 40,High,Verified,1B1 (easier) vs 1B2 (more difficult)
2015_3B_000,2015,Paper 3B,1,0,0,0,,2015.JPG,Paper 3B Table Part 1,0 | 0,High,Verified,3B1 (easier) vs 3B2 (more difficult)
2015_3B_001,2015,Paper 3B,2,1,1,0,,2015.JPG,Paper 3B Table Part 1,1 | 0,High,Verified,3B1 (easier) vs 3B2 (more difficult)
2015_3B_002,2015,Paper 3B,3,2,2,1,,2015.JPG,Paper 3B Table Part 1,2 | 1,High,Verified,3B1 (easier) vs 3B2 (more difficult)
2015_3B_003,2015,Paper 3B,4,3,3,1,,2015.JPG,Paper 3B Table Part 1,3 | 1,High,Verified,3B1 (easier) vs 3B2 (more difficult)
2015_3B_004,2015,Paper 3B,5,4,4,1,,2015.JPG,Paper 3B Table Part 1,4 | 1,High,Verified,3B1 (easier) vs 3B2 (more difficult)
2015_3B_005,2015,Paper 3B,6,5,5,2,,2015.JPG,Paper 3B Table Part 1,5 | 2,High,Verified,3B1 (easier) vs 3B2 (more difficult)
2015_3B_006,2015,Paper 3B,7,6,6,2,,2015.JPG,Paper 3B Table Part 1,6 | 2,High,Verified,3B1 (easier) vs 3B2 (more difficult)
2015_3B_007,2015,Paper 3B,8,7,7,2,,2015.JPG,Paper 3B Table Part 1,7 | 2,High,Verified,3B1 (easier) vs 3B2 (more difficult)
2015_3B_008,2015,Paper 3B,9,8,8,2,,2015.JPG,Paper 3B Table Part 1,8 | 2,High,Verified,3B1 (easier) vs 3B2 (more difficult)
2015_3B_009,2015,Paper 3B,10,9,9,3,,2015.JPG,Paper 3B Table Part 1,9 | 3,High,Verified,3B1 (easier) vs 3B2 (more difficult)
2015_3B_010,2015,Paper 3B,11,10,10,3,,2015.JPG,Paper 3B Table Part 1,10 | 3,High,Verified,3B1 (easier) vs 3B2 (more difficult)
2015_3B_011,2015,Paper 3B,12,11,11,3,,2015.JPG,Paper 3B Table Part 1,11 | 3,High,Verified,3B1 (easier) vs 3B2 (more difficult)
2015_3B_012,2015,Paper 3B,13,12,12,3,,2015.JPG,Paper 3B Table Part 1,12 | 3,High,Verified,3B1 (easier) vs 3B2 (more difficult)
2015_3B_013,2015,Paper 3B,14,13,13,4,,2015.JPG,Paper 3B Table Part 1,13 | 4,High,Verified,3B1 (easier) vs 3B2 (more difficult)
